Phenotype	Control	Case	NA
ALLERGIC	19366	1921	90
OSTEOPOROSIS	20392	899	86
ARTHRITIS	20340	951	86
ARTHRITIS_Psoriatic	21286	5	86
ARTHRITIS_RecurrentRheumatism	21289	2	86
ARTHRITIS_FrozenShoulder	21291	0	86
ARTHRITIS_AnkylosingSpondylitis	21278	13	86
ARTHRITIS_Rheumatoid	21115	176	86
ARTHRITIS_Degenerative	20566	725	86
GOUT	20178	1113	86
ASTHMA	20633	690	54
EMPHYSEMA_BRONCHITIS	21030	293	54
VALVE_HEART_DIS	20516	719	142
CORONARY_ARTERY_DIS	20950	285	142
ARRHYTHMIA	20321	914	142
CARDIOMYOPATHY	21092	143	142
CONGENITAL_HEART_DIS	21200	35	142
OTHER_HEART_DIS	21198	37	142
HYPERLIPIDEMIA	19726	1509	142
HYPERTENSION	18629	2606	142
APOPLEXIA	21105	130	142
DIABETES	20300	1036	41
DIABETES_Type1	21325	11	41
DIABETES_Gestational	10894	12	10471
DIABETES_Type2	20322	1014	41
PEPTIC_ULCER	18249	3070	58
GASTROESOPHAGEA_REFLUX	18649	2670	58
IRRITABLE_BOWEL_SND	20809	510	58
DEPRESSION	20631	685	61
MANIC_DEPRESSION	21171	145	61
POSTPARTUM_DEPRESSION	21260	56	61
OBSESSIVE_COMPULSIVE_DIS	21285	31	61
ALCOHOLISM_DRUG_ABUSE	21309	7	61
SCHIZOPHRENIA	21267	49	61
EPILEPSY	21265	80	32
HEMICRANIA	20814	531	32
MULTIPLE_SCLEROSIS	21340	5	32
PARKISON	21325	20	32
DEMENTIA	21340	5	32
LIVER_GALL_STONE	20363	923	91
KIDNEY_STONE	19744	1542	91
RENAL_FAILURE	21260	26	91
VERTIGO	20344	942	91
SEVERE_DYSMENORRHEA	10407	394	10576
MYOMA	8645	2156	10576
OVARIAN_CYST	10314	487	10576
ENDOMETRIOSIS	10064	737	10576
CERVICAL_POLYP	10522	279	10576
CATARACT	19630	1743	4
GLAUCOMA	21085	288	4
XEROPHTHALMIA	19190	2183	4
RENTINAL_DETACHMENT	21091	282	4
FLOATERS	18886	2487	4
BLIND	21343	30	4
COLOR_BLIND	21226	147	4
ARMD	0	116	21261
MYOPIA_600	0	0	21377
MYOPIA_1000	0	0	21377
